plot_id,tree_id,tree_tag,genus,species,name,dbh_cm,dfc_m,ord,ba,count,
A2-11,A2-11--01066,1066,Acer,rubrum,Acer rubrum,29,13.8,26,660.5192975,1,
A2-11,A2-11--01064,1064,Acer,rubrum,Acer rubrum,39.5,2.9,319,1225.416449,1,
A2-11,A2-11--01070,1070,Acer,rubrum,Acer rubrum,45,6.7,44,1590.429938,1,
A3-01,A3-1-13-01100,1100,Acer,rubrum,Acer rubrum,15.5,1.7,147,188.6917494,1,
A3-01,A3-1-13-01099,1099,Acer,rubrum,Acer rubrum,32.2,4.7,135,814.3315439,1,
A3-01,A3-1-13-01097,1097,Acer,rubrum,Acer rubrum,5.3,8.7,130,22.06181578,1,
A3-01,A3-1-13-01094,1094,Acer,rubrum,Acer rubrum,8.5,9.4,121,56.74496938,1,
A3-01,A3-1-13-01089,1089,Acer,rubrum,Acer rubrum,21.1,12.6,52,349.666821,1,
A3-01,A3-1-13-01087,1087,Acer,rubrum,Acer rubrum,17,7.2,27,226.9798775,1,
A3-01,A3-1-13-01086,1086,Acer,rubrum,Acer rubrum,34.3,13.3,8,924.0123048,1,
A3-01,A3-1-13-01084,1084,Acer,rubrum,Acer rubrum,17.9,14.9,325,251.649213,1,
A3-01,A3-1-13-01082,1082,Acer,rubrum,Acer rubrum,16,6.1,208,201.06176,1,
A3-01,A3-1-13-01076,1076,Acer,rubrum,Acer rubrum,11.2,3.3,198,98.5202624,1,
A3-01,A3-1-13-01088,1088,Ailanthus,altissima,Ailanthus altissima,30.1,15,44,711.577989,1,
A3-01,A3-1-13-01098,1098,Liriodendron,tulipfera,Liriodendron tulipfera,50.8,7.8,128,2026.828204,1,
A3-01,A3-1-13-01096,1096,Liriodendron,tulipfera,Liriodendron tulipfera,23.2,12,131,422.7323504,1,
A3-01,A3-1-13-01095,1095,Liriodendron,tulipfera,Liriodendron tulipfera,13.6,13,139,145.2671216,1,
A3-01,A3-1-13-01093,1093,Liriodendron,tulipfera,Liriodendron tulipfera,12.3,13.4,79,118.8227878,1,
